Nombre,Language,Foil,Qty,Edición,Estado,Precio unitario (Jul-21),Enlace,Comentarios,Valor Total,,,
Mishra's Bauble,EN,,4,Double Masters,NM,10,https://www.cardmarket.com/es/Magic/Products/Singles/Double-Masters/Mishras-Bauble?sellerCountry=10,,40,,,1034.85
Mandato de Kólagan,ES,,2,Dragones de Tarkir,NM,8,https://www.cardmarket.com/es/Magic/Products/Singles/Dragons-of-Tarkir/Kolaghan-s-Command?sellerCountry=10,,16,,,
"Ragavan, Nimble Pilferer",EN,,4,Modern Horizons 2,NM,70,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Ragavan-Nimble-Pilferer?sellerCountry=10,,280,,,
Dauthi Voidwalker,EN,,4,Modern Horizons 2,NM,12,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Dauthi-Voidwalker?sellerCountry=10,,48,,,
Dragon's Rage Channeler,EN,,4,Modern Horizons 2,NM,4.5,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Dragons-Rage-Channeler?sellerCountry=10,,18,,,
"Tourach, Dread Cantor",EN,,2,Modern Horizons 2,NM,6,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Tourach-Dread-Cantor?sellerCountry=10,,12,,,
"Kroxa, Titan of Death's Hunger",EN,,1,Theros Beyond Death,NM,25,https://www.cardmarket.com/es/Magic/Products/Singles/Theros-Beyond-Death/Kroxa-Titan-of-Deaths-Hunger?sellerCountry=10,,25,,,
"Kroxa, Titan of Death's Hunger",RU,,2,Theros Beyond Death,NM,24,https://www.cardmarket.com/es/Magic/Products/Singles/Theros-Beyond-Death/Kroxa-Titan-of-Deaths-Hunger?sellerCountry=10,,48,,,
Unholy Heat,EN,,5,Modern Horizons 2,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Unholy-Heat?sellerCountry=10,,0.75,,,
Blood Crypt,EN,,1,Vuelta a Ravnica,NM,11.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,11.5,,,
Blood Crypt,ES,,1,Vuelta a Ravnica,NM,11.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,11.5,,,
Terminate,ES,,1,Transmigración,GD,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Planeshift/Terminate?sellerCountry=10,,0.2,,,
Prismatic Ending (V.1),EN,,2,Modern Horizons 2,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2-Extras/Prismatic-Ending-V1?sellerCountry=10,V.1,4,,,
Prismatic Ending (V.2),EN,,1,Modern Horizons 2,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2-Extras/Prismatic-Ending-V1?sellerCountry=10,V.2,2,,,
Inquisition of Kozilek,EN,,2,Levantamiento de los Eldrazi,NM,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Rise-of-the-Eldrazi/Inquisition-of-Kozilek?sellerCountry=10,,7,,,
Inquisition of Kozilek,ES,,2,Levantamiento de los Eldrazi,NM,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Rise-of-the-Eldrazi/Inquisition-of-Kozilek?sellerCountry=10,,7,,,
Thoughtseize ,ES,,3,Theros,NM,14.5,https://www.cardmarket.com/es/Magic/Products/Singles/Theros/Thoughtseize?sellerCountry=10,,43.5,,,
Lightning Bolt,EN,,2,Magic 2011,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Lightning-Bolt?sellerCountry=10,,4.4,,,
Lightning Bolt,ES,,1,Magic 2011,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Lightning-Bolt?sellerCountry=10,,2.2,,,
Lightning Bolt,EN,,1,Magic 2010,NM,1.6,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Lightning-Bolt?sellerCountry=10,,1.6,,,
Blood Crypt,EN,,1,Vuelta a Ravnica,NM,12.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,12.5,,,
Blood Crypt,ES,,1,Vuelta a Ravnica,NM,12.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,12.5,,,
Godless Shrine,EN,,1,La lealtad de Ravnica,NM,7.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ravnica-Allegiance/Godless-Shrine?sellerCountry=10,,7.5,,,
Sacred Foundry,EN,,1,Gatecrash,NM,9,https://www.cardmarket.com/es/Magic/Products/Singles/Gatecrash/Sacred-Foundry?sellerCountry=10,,9,,,
"Shinka, the Bloodsoaked Keep",EN,,1,Campeones de Kamigawa,GD,11,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Lightning-Bolt?sellerCountry=10,,11,,,
"Shizo, Death's Storehouse",ES,,1,Campeones de Kamigawa,LP,12,https://www.cardmarket.com/es/Magic/Products/Singles/Champions-of-Kamigawa/Shizo-Deaths-Storehouse?sellerCountry=10,,12,,,
Graven Cairns,EN,,2,Páramo Sombrío,NM,3,https://www.cardmarket.com/es/Magic/Products/Singles/Shadowmoor/Graven-Cairns?sellerCountry=10,,6,,,
Blackcleave Cliffs,EN,Sí,1,Cicatrices de Mirrodin,NM,40,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Blackcleave-Cliffs?sellerCountry=10,,40,,,
Blackcleave Cliffs,ES,,3,Cicatrices de Mirrodin,NM,19,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Blackcleave-Cliffs?sellerCountry=10,,57,,,
Verdant Catacombs,EN,,2,Zendikar,NM,30,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Verdant-Catacombs?sellerCountry=10,,60,,,
Wooded Foothills,ES,,1,Khans of Tarkir,NM,29,https://www.cardmarket.com/es/Magic/Products/Singles/Khans-of-Tarkir/Wooded-Foothills?sellerCountry=10,,29,,,
Bloodstained Mire,EN,,4,Khans of Tarkir,NM,29,https://www.cardmarket.com/es/Magic/Products/Singles/Khans-of-Tarkir/Bloodstained-Mire?sellerCountry=10,,116,,,
Lurrus of the Dream-Den,EN,,1,Ikoria: Lair of Behemoths,NM,11.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ikoria-Lair-of-Behemoths/Lurrus-of-the-Dream-Den?sellerCountry=10,,11.5,,,
Void Mirror,EN,,1,Modern Horizons 2,NM,0.7,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Void-Mirror?sellerCountry=10,,0.7,,,
Cursed Totem,EN,,1,Modern Horizons 2,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Cursed-Totem-V1?sellerCountry=10,,0.4,,,
Shattering Spree,EN,,3,El Pacto entre Gremios,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Guildpact/Shattering-Spree?sellerCountry=10,,7.5,,,
Engineered Explosives ,EN,,2,Ultimate Masters,NM,9.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ultimate-Masters/Engineered-Explosives?sellerCountry=10,,19,,,
Blood Moon,EN,,3,Modern Masters,NM,12,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Masters/Blood-Moon?sellerCountry=10,,36,,,
Pithing Needle,EN,,1,Magic 2010,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Pithing-Needle?sellerCountry=10,,2.2,,,
Pithing Needle,EN,,1,Salvadores de Kamigawa,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Saviors-of-Kamigawa/Pithing-Needle?sellerCountry=10,,2.2,,,
Nihil Spellbomb,ES,,1,Cicatrices de Mirrodin,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Nihil-Spellbomb?sellerCountry=10,,0.2,,,
Nombre,Language,Foil,Qty,Edición,Estado,Precio unitario (Jul-21),Enlace,Comentarios,Valor Total,Baraja,,,,,
Mishra's Bauble,EN,,4,Double Masters,NM,10,https://www.cardmarket.com/es/Magic/Products/Singles/Double-Masters/Mishras-Bauble?sellerCountry=10,,40,Rackdos Midrange,,3575.56,,,
Mandato de Kólagan,ES,,2,Dragones de Tarkir,NM,8,https://www.cardmarket.com/es/Magic/Products/Singles/Dragons-of-Tarkir/Kolaghan-s-Command?sellerCountry=10,,16,Rackdos Midrange,,,,,
"Ragavan, Nimble Pilferer",EN,,4,Modern Horizons 2,NM,70,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Ragavan-Nimble-Pilferer?sellerCountry=10,,280,Rackdos Midrange,,,,,
Dauthi Voidwalker,EN,,4,Modern Horizons 2,NM,12,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Dauthi-Voidwalker?sellerCountry=10,,48,Rackdos Midrange,,,,,
Dragon's Rage Channeler,EN,,4,Modern Horizons 2,NM,4.5,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Dragons-Rage-Channeler?sellerCountry=10,,18,Rackdos Midrange,,,,,
"Tourach, Dread Cantor",EN,,2,Modern Horizons 2,NM,6,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Tourach-Dread-Cantor?sellerCountry=10,,12,Rackdos Midrange,,,,,
"Kroxa, Titan of Death's Hunger",EN,,1,Theros Beyond Death,NM,25,https://www.cardmarket.com/es/Magic/Products/Singles/Theros-Beyond-Death/Kroxa-Titan-of-Deaths-Hunger?sellerCountry=10,,25,Rackdos Midrange,,,,,
"Kroxa, Titan of Death's Hunger",RU,,2,Theros Beyond Death,NM,24,https://www.cardmarket.com/es/Magic/Products/Singles/Theros-Beyond-Death/Kroxa-Titan-of-Deaths-Hunger?sellerCountry=10,,48,Rackdos Midrange,,,,,
Unholy Heat,EN,,5,Modern Horizons 2,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Unholy-Heat?sellerCountry=10,,0.75,Rackdos Midrange,,,,,
Blood Crypt,EN,,1,Vuelta a Ravnica,NM,11.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,11.5,Rackdos Midrange,,,,,
Blood Crypt,ES,,1,Vuelta a Ravnica,NM,11.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,11.5,Rackdos Midrange,,,,,
Terminate,ES,,1,Transmigración,GD,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Planeshift/Terminate?sellerCountry=10,,0.2,Rackdos Midrange,,,,,
Prismatic Ending (V.1),EN,,2,Modern Horizons 2,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2-Extras/Prismatic-Ending-V1?sellerCountry=10,V.1,4,Rackdos Midrange,,,,,
Prismatic Ending (V.2),EN,,1,Modern Horizons 2,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2-Extras/Prismatic-Ending-V1?sellerCountry=10,V.2,2,Rackdos Midrange,,,,,
Inquisition of Kozilek,EN,,2,Levantamiento de los Eldrazi,NM,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Rise-of-the-Eldrazi/Inquisition-of-Kozilek?sellerCountry=10,,7,Rackdos Midrange,,,,,
Inquisition of Kozilek,ES,,2,Levantamiento de los Eldrazi,NM,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Rise-of-the-Eldrazi/Inquisition-of-Kozilek?sellerCountry=10,,7,Rackdos Midrange,,,,,
Thoughtseize ,ES,,3,Theros,NM,14.5,https://www.cardmarket.com/es/Magic/Products/Singles/Theros/Thoughtseize?sellerCountry=10,,43.5,Rackdos Midrange,,,,,
Lightning Bolt,EN,,2,Magic 2011,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Lightning-Bolt?sellerCountry=10,,4.4,Rackdos Midrange,,,,,
Lightning Bolt,ES,,1,Magic 2011,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Lightning-Bolt?sellerCountry=10,,2.2,Rackdos Midrange,,,,,
Lightning Bolt,EN,,1,Magic 2010,NM,1.6,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Lightning-Bolt?sellerCountry=10,,1.6,Rackdos Midrange,,,,,
Blood Crypt,EN,,1,Vuelta a Ravnica,NM,12.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,12.5,Rackdos Midrange,,,,,
Blood Crypt,ES,,1,Vuelta a Ravnica,NM,12.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,12.5,Rackdos Midrange,,,,,
Godless Shrine,EN,,1,La lealtad de Ravnica,NM,7.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ravnica-Allegiance/Godless-Shrine?sellerCountry=10,,7.5,Rackdos Midrange,,,,,
Sacred Foundry,EN,,1,Gatecrash,NM,9,https://www.cardmarket.com/es/Magic/Products/Singles/Gatecrash/Sacred-Foundry?sellerCountry=10,,9,Rackdos Midrange,,,,,
"Shinka, the Bloodsoaked Keep",EN,,1,Campeones de Kamigawa,GD,11,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Lightning-Bolt?sellerCountry=10,,11,Rackdos Midrange,,,,,
"Shizo, Death's Storehouse",ES,,1,Campeones de Kamigawa,LP,12,https://www.cardmarket.com/es/Magic/Products/Singles/Champions-of-Kamigawa/Shizo-Deaths-Storehouse?sellerCountry=10,,12,Rackdos Midrange,,,,,
Graven Cairns,EN,,2,Páramo Sombrío,NM,3,https://www.cardmarket.com/es/Magic/Products/Singles/Shadowmoor/Graven-Cairns?sellerCountry=10,,6,Rackdos Midrange,,,,,
Blackcleave Cliffs,EN,Sí,1,Cicatrices de Mirrodin,NM,40,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Blackcleave-Cliffs?sellerCountry=10,,40,Rackdos Midrange,,,,,
Blackcleave Cliffs,ES,,3,Cicatrices de Mirrodin,NM,19,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Blackcleave-Cliffs?sellerCountry=10,,57,Rackdos Midrange,,,,,
Verdant Catacombs,EN,,2,Zendikar,NM,30,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Verdant-Catacombs?sellerCountry=10,,60,Rackdos Midrange,,,,,
Wooded Foothills,ES,,1,Khans of Tarkir,NM,29,https://www.cardmarket.com/es/Magic/Products/Singles/Khans-of-Tarkir/Wooded-Foothills?sellerCountry=10,,29,Rackdos Midrange,,,,,
Bloodstained Mire,EN,,4,Khans of Tarkir,NM,29,https://www.cardmarket.com/es/Magic/Products/Singles/Khans-of-Tarkir/Bloodstained-Mire?sellerCountry=10,,116,Rackdos Midrange,,,,,
Lurrus of the Dream-Den,EN,,1,Ikoria: Lair of Behemoths,NM,11.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ikoria-Lair-of-Behemoths/Lurrus-of-the-Dream-Den?sellerCountry=10,,11.5,Rackdos Midrange,,,,,
Void Mirror,EN,,1,Modern Horizons 2,NM,0.7,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Void-Mirror?sellerCountry=10,,0.7,Rackdos Midrange,,,,,
Cursed Totem,EN,,1,Modern Horizons 2,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons-2/Cursed-Totem-V1?sellerCountry=10,,0.4,Rackdos Midrange,,,,,
Shattering Spree,EN,,3,El Pacto entre Gremios,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Guildpact/Shattering-Spree?sellerCountry=10,,7.5,Rackdos Midrange,,,,,
Engineered Explosives ,EN,,2,Ultimate Masters,NM,9.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ultimate-Masters/Engineered-Explosives?sellerCountry=10,,19,Rackdos Midrange,,,,,
